epoch,accuracy,loss,val_accuracy,val_loss
0,0.6997466087341309,29991.0,0.537162184715271,29155.17578125
1,0.740287184715271,23692.244140625,0.75,54724.5
2,0.759712815284729,20595.365234375,0.6013513803482056,28318.30078125
3,0.8086993098258972,16368.240234375,0.4763513505458832,41206.73828125
4,0.8091216087341309,14007.6943359375,0.6030405163764954,50629.99609375
5,0.8243243098258972,12464.140625,0.49662160873413086,28444.4453125
6,0.822212815284729,11701.8642578125,0.5979729890823364,39819.40234375
7,0.8445945978164673,11477.955078125,0.6216216087341309,25667.53515625
8,0.8450168967247009,10693.2607421875,0.6081081032752991,28494.9296875
9,0.8462837934494019,10352.2841796875,0.5472972989082336,16988.966796875
