epoch,accuracy,loss,val_accuracy,val_loss
0,0.6708494424819946,34999.3203125,0.5281531810760498,1535205.625
1,0.7350386381149292,23898.078125,0.5281531810760498,115735.7265625
2,0.7770270109176636,18998.16796875,0.6610360145568848,23879.232421875
3,0.7673745155334473,17229.2578125,0.6216216087341309,14194.6181640625
4,0.7842664122581482,16006.6396484375,0.6036036014556885,29329.611328125
5,0.8040540814399719,15489.5302734375,0.6948198080062866,74398.6328125
6,0.7915058135986328,15336.072265625,0.5326576828956604,128091.53125
7,0.7987451553344727,14720.150390625,0.6813063025474548,15293.8779296875
8,0.8001930713653564,14736.98828125,0.6103603839874268,15996.162109375
9,0.8228764533996582,14568.06640625,0.0045045046135783195,147300.234375
10,0.7997104525566101,13786.3935546875,0.36036035418510437,45291.0546875
11,0.8088803291320801,14610.171875,0.47297295928001404,29640.49609375
12,0.8074324131011963,14066.625,0.7240990996360779,16039.8740234375
13,0.8098455667495728,13791.0283203125,0.6936936974525452,25082.02734375
14,0.8035714030265808,13956.4794921875,0.7195945978164673,15724.1787109375
