epoch,accuracy,loss,val_accuracy,val_loss
0,0.735135138,27468.31445,0.507432461,1832252.375
1,0.778378367,22362.09766,0.591891885,147711.0313
2,0.809459448,18812.30859,0.612162173,35777.32031
3,0.850675702,18044.96289,0.604054034,17246.03711
4,0.817567587,17634.22852,0.687837839,18065.79492
5,0.8047297,15980.26758,0.629729748,16026.26855
6,0.843243241,15405.59961,0.672297299,22434.18164
7,0.836486459,15173.89453,0.64864862,22305.81641
8,0.81621623,16103.31738,0.65608108,54498.23438
9,0.837162137,15379.99316,0.668918908,17294.9707
10,0.836486459,12982.68262,0.67567569,17960.29102
11,0.874324322,13367.86719,0.700675666,20842.24414
12,0.854054034,12569.3623,0.64459461,17721.07227
13,0.864864886,13877.28223,0.716891885,14896.50781
14,0.841891885,11787.08691,0.433108121,166312.6719
