epoch,accuracy,loss,val_accuracy,val_loss
0,0.6644144058227539,35758.578125,0.4113175570964813,313151.3125
1,0.7454954981803894,24733.12109375,0.6038851141929626,19382.435546875
2,0.7911036014556885,21230.931640625,0.4890202581882477,20345.044921875
3,0.8006756901741028,20998.634765625,0.6798986196517944,23496.10546875
4,0.8074324131011963,18946.04296875,0.6486486196517944,22693.5
5,0.8164414167404175,19373.927734375,0.619087815284729,29990.5234375
6,0.8192567825317383,17406.384765625,0.6131756901741028,30079.833984375
7,0.8400900959968567,16202.6396484375,0.650337815284729,22580.748046875
8,0.8209459185600281,15521.646484375,0.6292229890823364,36157.48828125
9,0.8344594836235046,14738.5458984375,0.6942567825317383,14110.265625
10,0.8513513803482056,13539.9873046875,0.7407094836235046,13141.392578125
11,0.8367117047309875,13420.759765625,0.6452702879905701,26557.693359375
12,0.8417792916297913,12828.7890625,0.6739864945411682,34725.921875
13,0.8468468189239502,12524.271484375,0.6731418967247009,19006.033203125
14,0.8293918967247009,12213.01953125,0.693412184715271,32384.111328125
