epoch,accuracy,loss,val_accuracy,val_loss
0,0.658783793,38489.03906,0.386486501,63274.87109
1,0.711486459,32522.28125,0.606756747,22288.70313
2,0.736486495,23162.5625,0.64054054,20650.25195
3,0.722297311,22070.39648,0.620270252,26903.92188
4,0.768243253,20970.63086,0.619594574,35479.45313
5,0.760810792,19766.62109,0.385135144,140048.4844
6,0.750675678,20185.48828,0.651351333,37950.17188
7,0.76554054,19149.625,0.612162173,30517.45313
8,0.776351333,19643.79883,0.615540564,24045.66406
9,0.770945966,18949.48047,0.614189208,24367.68359
10,0.77364862,19277.04492,0.598648667,26436.67773
11,0.763513505,20260.91211,0.603378356,25200.00195
12,0.770270288,19357.52539,0.610135138,21832.57227
13,0.787162185,18854.94141,0.5547297,20262.94336
14,0.771621644,19253.38281,0.633783758,25976.24414
15,0.795945942,18214.21484,0.624324322,25208.12891
16,0.788513541,18176.76563,0.612837851,23567.83203
17,0.790540516,17727.55469,0.62905407,24445.0332
18,0.78513515,17470.13672,0.635135114,25185.34961
19,0.777702689,17748.80273,0.641891897,18693.87891
