epoch,accuracy,loss,val_accuracy,val_loss
0,0.743243217,36505.73828,0.433108121,76293.75
1,0.735810816,32835.10547,0.53918916,28464.9082
2,0.781756759,22263.16406,0.613513529,20611.73828
3,0.812162161,21247.42578,0.666891873,23277.32227
4,0.829054058,19113.51953,0.656756759,20703.44531
5,0.828378379,17829.54297,0.591891885,23698.57227
6,0.810135126,18597.89648,0.622972965,34823.07422
7,0.827702701,16995.94531,0.594594598,19829.64844
8,0.806756735,16267.76074,0.652027011,21450.47656
9,0.833108127,15073.02832,0.652027011,20458.01563
10,0.831081092,15940.79883,0.64054054,18234.49023
11,0.834459484,14895.83691,0.66013515,17936.1543
12,0.837162137,14863.23828,0.622972965,19835.95898
13,0.829729736,14498.25,0.60135138,24816.43555
14,0.833108127,13782.85547,0.645270288,21507.55078
