epoch,accuracy,loss,val_accuracy,val_loss
0,0.703378379,33132.07813,0.275675684,90753.86719
1,0.80067569,25629.64648,0.118918918,144333.9844
2,0.805405378,20983.44141,0.429054052,60879.76172
3,0.818243265,18923.86719,0.418243229,37300.04297
4,0.817567587,20132.16406,0.552027047,33438.56641
5,0.845270276,19072.11914,0.572297275,33381.83984
6,0.843243241,16348.46875,0.581081092,49685.28516
7,0.85945946,14880.82031,0.625,25799.23438
8,0.865540564,16520.70313,0.645270288,21108.62109
9,0.841891885,13769.44629,0.650675654,20607.41406
10,0.856081069,12992.47461,0.662837863,21646.00195
11,0.860810816,12755.21387,0.666891873,23344.94141
12,0.868243217,13897.00293,0.663513541,20662.875
13,0.858108103,12304.94141,0.649324298,20705.69141
14,0.869594574,12102.39551,0.69121623,19623.86914
15,0.850000024,11794.10254,0.650675654,19284.72656
16,0.875675678,11003.36328,0.628378391,22481.0918
17,0.87094593,10839.34766,0.641891897,19083.86719
18,0.862162173,10959.71777,0.638513505,21072.66797
19,0.889189184,11104.51465,0.659459472,19998.44141
20,0.875675678,11141.75684,0.649999976,21125.30469
21,0.875,10094.04102,0.665540516,17402.32227
22,0.852702677,9957.660156,0.653378367,18673.12109
23,0.867567539,9669.59082,0.658108115,16525.88281
24,0.876351357,10072.57715,0.649324298,17113.51367
25,0.865540564,9634.579102,0.65608108,16372.76074
26,0.862837851,9002.175781,0.643918931,17699.11719
27,0.868918896,8991.913086,0.66013515,16550.01758
28,0.872297287,9154.243164,0.707432449,16685.19727
29,0.869594574,9113.880859,0.682432413,16262.91895
