epoch,accuracy,loss,val_accuracy,val_loss
0,0.6920849680900574,30534.48046875,0.3288288414478302,62592.74609375
1,0.7649613618850708,21524.228515625,0.5281531810760498,59472.859375
2,0.7596524953842163,21954.630859375,0.5664414167404175,59531.234375
3,0.7876448035240173,20174.2265625,0.5281531810760498,35650.296875
4,0.7837837934494019,18585.6015625,0.6036036014556885,45695.2265625
5,0.825772225856781,16212.8857421875,0.505630612373352,24168.990234375
6,0.8059845566749573,15324.4765625,0.582207202911377,30072.42578125
7,0.8310810923576355,14280.6123046875,0.6283783912658691,26965.255859375
8,0.8388031125068665,12999.4697265625,0.6430180072784424,50740.671875
9,0.8291505575180054,13156.62109375,0.6768018007278442,42592.546875
10,0.8330115675926208,12223.51171875,0.7229729890823364,35214.46484375
11,0.83638995885849,11666.767578125,0.7015765905380249,45145.796875
12,0.8445945978164673,11737.8203125,0.6272522807121277,13248.802734375
13,0.8445945978164673,10941.4453125,0.6385135054588318,36426.609375
14,0.8513513803482056,10763.92578125,0.6385135054588318,15428.822265625
