epoch,accuracy,loss,val_accuracy,val_loss
0,0.743918896,29461.31641,0.432432443,137266.7969
1,0.766216218,23320.92773,0.44121623,35588.26953
2,0.827702701,19358.2207,0.433108121,25468.26953
3,0.812162161,20079.51172,0.658783793,43800.92578
4,0.829729736,17889.92188,0.671621621,18512.80469
5,0.822972953,14616.74609,0.469594598,103658.5078
6,0.847297311,13622.49219,0.679054081,17117.90039
7,0.868243217,12636.39355,0.647297323,14795.77539
8,0.872972965,11973.25391,0.670270264,14466.49609
9,0.865540564,11164.40234,0.652702689,14083.45117
10,0.854729712,11311.92676,0.677702725,17733.11719
11,0.850675702,10924.7998,0.60945946,21306.07227
12,0.852702677,10550.01074,0.437162161,254783.7813
13,0.87094593,10390.35449,0.65608108,14827.63672
14,0.875675678,10387.74316,0.666216195,15693.75
15,0.872972965,10969.12109,0.610810816,27478.97266
16,0.862162173,10697.3252,0.608108103,17700.07227
17,0.865540564,10111.69727,0.668243229,50231.99609
18,0.869594574,9917.351563,0.664864838,16707.71875
19,0.87094593,9676.630859,0.427702695,74814.54688
