epoch,accuracy,loss,val_accuracy,val_loss
0,0.747297287,26137.99219,0.571621597,683298.25
1,0.821621597,20522.22656,0.317567557,148831.2969
2,0.84391892,18009.18555,0.522297323,62639.56641
3,0.841891885,15225.49414,0.607432425,25812.03516
4,0.841891885,15591.7041,0.637162149,16086.51758
5,0.84391892,15011.37598,0.466216207,30209.83008
6,0.852702677,13869.3584,0.651351333,22325.11914
7,0.866216242,13904.5918,0.616891921,39115.46875
8,0.840540528,14057.73242,0.560135126,22758.5918
9,0.844594598,11993.69336,0.647973001,25039.67383
10,0.85540539,11845.83398,0.647297323,26800.73242
11,0.862837851,11319.18945,0.685810804,18646.31445
12,0.870270252,11094.92383,0.657432437,23224.47656
13,0.853378356,11453.11914,0.658108115,20996.13281
14,0.875,10020.55566,0.661486506,19598.14453
15,0.861486495,9798.819336,0.671621621,17422.41602
16,0.880405426,10398.69629,0.667567551,20096.24219
17,0.874324322,9838.586914,0.634459436,20128.58789
18,0.869594574,9461.956055,0.664864838,17599.18945
19,0.888513505,9204.946289,0.660810828,14892.59277
