epoch,accuracy,loss,val_accuracy,val_loss
0,0.636486471,40476.53125,0.568243265,37863.51563
1,0.744594574,29995.57031,0.483108103,23570.83008
2,0.767567575,23068.81055,0.711486459,21002.89453
3,0.813513517,20461.30078,0.635810792,31567.50781
4,0.812837839,17669.83789,0.641891897,19175.01953
5,0.830405414,15684.16992,0.622297287,19738.58984
6,0.83581084,15550.88086,0.645945966,25007.67578
7,0.837162137,14969.55957,0.655405402,22439.0332
8,0.822972953,14685.95801,0.633783758,19373.41797
9,0.846621633,14465.09766,0.627027035,17501.48242
10,0.85135138,13145.97656,0.627702713,19397.5332
11,0.850000024,12608.26074,0.625,16492.15625
12,0.858108103,12539.66992,0.631081104,18875.09375
13,0.844594598,12931.72656,0.617567539,20156.35156
14,0.845270276,12556.32031,0.628378391,26822.16992
15,0.842567563,13079.82031,0.611486495,18571.88281
16,0.841891885,12753.52539,0.637162149,21585.51563
17,0.848648667,13193.25977,0.64864862,17238.69531
18,0.831756771,12736.01367,0.645945966,20494.19922
19,0.842567563,12687.56348,0.645945966,33387.1875
20,0.845945954,12858.94434,0.646621644,26336.44922
21,0.833783805,12641.38086,0.630405426,21417.50977
22,0.83581084,12816.89844,0.581081092,22416.50586
23,0.847297311,12767.68945,0.62905407,19023.92773
24,0.843243241,12364.98242,0.633783758,17521.14258
25,0.833783805,12255.76855,0.643918931,19201.11719
26,0.852026999,12983.51465,0.641891897,17978.19141
27,0.85135138,12189.81641,0.627702713,18997.62695
28,0.841891885,11852.21387,0.64459461,20007.96094
29,0.837837815,12899.87305,0.635810792,19769.01953
