epoch,accuracy,loss,val_accuracy,val_loss
0,0.721621633,31296.03516,0.464189202,607872.875
1,0.719594598,30708.85156,0.433108121,527575.4375
2,0.794594586,23794.89258,0.602026999,115438.1484
3,0.82432431,21414.0957,0.627027035,34505.23438
4,0.81621623,18282.22656,0.608783782,18038.83789
5,0.812162161,16281.1748,0.599324346,16599.64648
6,0.842567563,15524.24902,0.635810792,27551.31055
7,0.831756771,14624.6084,0.60540539,17243.89844
8,0.849324346,14597.96191,0.631081104,14865.33496
9,0.838513494,14090.47168,0.646621644,19186.07031
10,0.841891885,13237.29688,0.649999976,19427.08203
11,0.852702677,12984.27832,0.633108079,22071.66211
12,0.852026999,12575.05566,0.647973001,24674.23047
13,0.864189208,12857.21875,0.647297323,16564.89063
14,0.85135138,13033.0625,0.668243229,20977.23047
15,0.858108103,12039.1582,0.645945966,17354.30859
16,0.85540539,12505.95508,0.627702713,17190.46289
17,0.850000024,12904.99219,0.60135138,16487.33203
18,0.862837851,12098.94727,0.433108121,79155.16406
19,0.850000024,12621.42969,0.589189172,154759.0469
20,0.839189172,13313.25977,0.661486506,25763.48438
21,0.854729712,12955.88477,0.657432437,16163.52832
22,0.856081069,11821.81738,0.642567575,17145.14258
23,0.861486495,12194.60449,0.643918931,19445.22656
24,0.856081069,11879.05176,0.617567539,17730.63281
25,0.878378391,11554.3252,0.548648655,22547.08984
26,0.85540539,11573.65039,0.622972965,20837.88281
27,0.852702677,11341.93555,0.639864862,21228.11133
28,0.862162173,11558.94434,0.649999976,18283.04102
29,0.858108103,11197.25781,0.637162149,19879.9043
