epoch,accuracy,loss,val_accuracy,val_loss
0,0.6790540814399719,32223.392578125,0.04054053872823715,69503.5859375
1,0.7473723888397217,24417.40625,0.18581080436706543,37548.5625
2,0.7657657861709595,20284.69140625,0.04054053872823715,35258.24609375
3,0.7781531810760498,17753.302734375,0.28378379344940186,29623.533203125
4,0.7841591835021973,17112.142578125,0.04054053872823715,170736.546875
5,0.7942942976951599,15444.248046875,0.28378379344940186,39069.43359375
6,0.8059309124946594,15185.111328125,0.32094594836235046,28059.37890625
7,0.8292042016983032,13818.923828125,0.12837837636470795,108420.5625
8,0.8160660862922668,13678.041015625,0.30405405163764954,33516.09765625
9,0.8160660862922668,13706.8427734375,0.04054053872823715,526175.1875
