epoch,accuracy,loss,val_accuracy,val_loss
0,0.716216207,38517.05859,0.537162185,127324.2734
1,0.794594586,26013.09375,0.572972953,30517.52734
2,0.806756735,21303.05664,0.622297287,27066.44336
3,0.818918943,19389.27344,0.666891873,28102.80078
4,0.817567587,16432.13867,0.656756759,20320.20898
5,0.83581084,16053.41211,0.635810792,18051.23828
6,0.845270276,14309.03809,0.671621621,28436.87109
7,0.846621633,14708.99902,0.658783793,16342.97852
8,0.845270276,14144.0957,0.654729724,19497.89648
9,0.854729712,13189.11328,0.647973001,17931.73047
