epoch,accuracy,loss,val_accuracy,val_loss
0,0.593243241,46435.17969,0.365540534,530552.1875
1,0.715540528,25405.92773,0.422297299,91569.82813
2,0.743243217,23467.85938,0.433108121,88389.21094
3,0.795945942,23779.72461,0.433108121,324789.4688
4,0.777702689,22976.88672,0.593243241,22096.73242
5,0.808108091,19566.28125,0.606081069,17534.18945
6,0.760135114,20148.47656,0.625675678,33112.71484
7,0.756756783,19685.41797,0.618918896,29291.75977
8,0.803378403,17977.98047,0.627027035,18979.79102
9,0.827702701,17968.37109,0.654054046,29508.7207
