epoch,accuracy,loss,val_accuracy,val_loss
0,0.6467717885971069,40008.51953125,0.1756756752729416,74423.5859375
1,0.7263513803482056,24477.26953125,0.2939189076423645,35689.5859375
2,0.7616366147994995,20398.322265625,0.06756756454706192,178411.09375
3,0.7469969987869263,19425.96484375,0.26013514399528503,37721.55078125
4,0.754879891872406,18043.294921875,0.32094594836235046,30283.5546875
5,0.7728978991508484,17682.595703125,0.32094594836235046,27729.46875
6,0.7560060024261475,18109.875,0.04054053872823715,244319.734375
7,0.7612612843513489,17439.048828125,0.3513513505458832,30130.9765625
8,0.7747747898101807,16736.78125,0.04054053872823715,295329.3125
9,0.7819069027900696,16719.80859375,0.3918918967247009,28049.8203125
10,0.7845345139503479,16642.513671875,0.34797295928001404,31785.087890625
11,0.7837837934494019,16431.52734375,0.3175675570964813,30783.046875
12,0.7826576828956604,15858.8779296875,0.29729729890823364,44412.8125
13,0.7920420169830322,16223.318359375,0.0033783784601837397,12706064.0
14,0.7987987995147705,15860.6181640625,0.3006756901741028,31820.142578125
15,0.7819069027900696,15784.044921875,0.375,26541.408203125
16,0.7789039015769958,15874.1083984375,0.25,39181.51953125
17,0.797672688961029,14951.0634765625,0.4493243098258972,41327.7109375
18,0.8025525808334351,14721.513671875,0.0033783784601837397,773977.125
19,0.8010510802268982,15138.86328125,0.40202704071998596,30562.5546875
20,0.7969219088554382,14834.5498046875,0.04054053872823715,249161.15625
21,0.8100600838661194,15078.7177734375,0.34121620655059814,32828.37109375
22,0.8006756901741028,14261.740234375,0.037162162363529205,8826494.0
23,0.7935435175895691,15055.3427734375,0.09121621400117874,50232.85546875
24,0.8081831932067871,14105.8076171875,0.3547297418117523,26747.02734375
25,0.8126876950263977,13767.2099609375,0.3513513505458832,27069.73046875
26,0.8081831932067871,13641.6787109375,0.3445945978164673,37480.66796875
27,0.8213213086128235,13455.7744140625,0.2804054021835327,58945.53515625
28,0.8108108043670654,13712.3994140625,0.4493243098258972,46696.44140625
29,0.8134384155273438,13400.455078125,0.375,28521.439453125
